Employee,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
emp_id,emp_firstname,emp_surname,emp_gender,emp_birthdate,emp_contact,emp_workplace_id,date_hired,date_resigned,emp_position,reports_to,mth_salary
RE100,Joe,Jonas,M,2000-05-06 00:00:00,215-443-8345,ST001LA,2012-08-08 00:00:00,2015-12-06 00:00:00,Retail,COO100,2500.0
SE100,Benny,Sim,M,27-09-1985,725-389-2138,OF001LA,13-10-2012,,Software Engineer,SSM100,8000.0
COO100,Takashi,Marumoto,M,16-01-1992,223-532-6793,OF001LA,2013-11-06 00:00:00,,Chief Operating Officer,SCOO100,9100.0
MAN100,Selena,Gomez,F,1987-04-11 00:00:00,520-327-3424,ST002SD,26-07-2016,,Manager,SM200,5500.0
MAN200,Tamia,Nguyen,F,28-02-1991,207-316-7256,WH001TX,2015-07-04 00:00:00,17-07-2016,Manager,SNM100,5500.0
RE200,Chris,Perry,M,30-03-1991,318-930-6494,ST001LA,25-09-2019,,Retail,COO100,2500.0
MAR100,Lilian,Carroll,F,30-10-1994,725-609-7733,ST001AT,24-09-2016,,Marketing,AD100,6000.0
HE100,Joel,Tan,M,1980-07-08 00:00:00,215-638-7345,WH001NY,16-11-2009,,Hardware Engineer,SSM100,7500.0
MAN300,Suzuki,Ayato,M,20-04-1976,304-473-1421,WH002TX,22-09-2010,,Manager,SNM100,5500.0
RE300,Nellie,Palmer,F,19-11-1995,610-957-3247,ST002SD,17-05-2016,2020-06-01 00:00:00,Retail,COO100,2500.0
HR100,Dexter,Chan,M,1987-11-07 00:00:00,725-987-5452,OF001HT,18-01-2017,,Human Resources,SCOO100,3300.0
COO200,Chantelle,Lee,F,1988-10-01 00:00:00,424-768-7386,OF001LA,2011-01-03 00:00:00,,Chief Operating Officer,SCOO100,9100.0
RE400,Christine,Ford,F,15-02-1995,215-497-2607,ST001NY,22-05-2019,,Retail,COO100,2500.0
HR200,Tom,Miller,M,1986-12-12 00:00:00,310-844-6937,OF001HT,20-04-2017,2019-08-08 00:00:00,Human Resources,SCOO100,3300.0
UID100,Louis,Russell,M,1994-05-04 00:00:00,310-863-7570,OF001TLW,2015-05-06 00:00:00,,User Interface Designer,CDO100,4500.0
CO100,Hayley,Myers,F,1992-08-09 00:00:00,412-647-6273,OF001NY,31-08-2019,,Communication,SNM100,3000.0
UID200,Jacob,Singh,M,1990-02-12 00:00:00,415-594-4863,OF001NY,2014-04-11 00:00:00,2020-12-10 00:00:00,User Interface Designer,CDO200,4500.0
SE200,Robin,Coleman,M,20-05-1982,303-859-6040,OF001KL,13-08-2010,,Software Engineer,SM100,8000.0
SM100,Lewis,Kim,M,1989-09-08 00:00:00,415-594-4754,OF001LA,2013-11-05 00:00:00,,Software Manager,AD100,8800.0
SE300,Monica,Clarke,F,13-03-1987,220-447-9007,OF001HT,18-10-2012,,Software Engineer,SM100,8000.0
SNM100,Charlie,Howell,M,1980-11-07 00:00:00,309-528-3253,WH001CA,2011-10-05 00:00:00,,Senior Manager,,8500.0
SCOO100,Louisa,Allison,F,1980-01-07 00:00:00,410-472-0047,OF001LA,2008-04-07 00:00:00,,Senior Chief Operating Officer,,9300.0
RE500,Nial,Russel,M,19-05-1994,262-681-2009,ST001TLW,22-07-2018,,Retail,COO200,2500.0
RE600,Troy,Smith,M,20-06-1996,214-638-1995,ST001CAR,2017-04-05 00:00:00,15-02-2019,Retail,COO200,2500.0
HR300,Fred,Pan,M,31-01-1991,408-619-3893,OF002CHR,2012-11-10 00:00:00,,Human Resources,SCOO100,3300.0
CDO100,Wayne,Fernandez,M,1987-05-04 00:00:00,617-386-5729,OF002LA,2013-04-11 00:00:00,,Chief Design Officer,SCDO100,9050.0
MAN400,Patricia,Jennings,F,1988-02-11 00:00:00,806-405-8829,ST001KB,2011-12-02 00:00:00,,Manager,SNM100,5500.0
SCDO100,Mason,Holland,M,1987-07-06 00:00:00,215-100-0513,OF001KL,30-05-2012,,Senior Chief Design Officer,,9000.0
HR400,Allen,Granger,M,1987-08-02 00:00:00,408-560-1532,OF002LA,30-12-2017,,Human Resources,SNM100,3300.0
SSM100,Abby,Evans,F,18-06-1980,617-722-1237,OF001HT,2009-07-08 00:00:00,,Senior Software Manager,,9500.0
UID300,Adam,Phillips,M,31-07-1989,806-427-4639,OF002LA,23-04-2011,,User Interface Designer,CDO100,4500.0
ID200,Amanda,Brooke,F,21-03-1985,423-846-9004,OF002LA,19-09-2009,,Industrial Designer,CDO200,6000.0
AD100,David,Lee,M,1977-04-08 00:00:00,415-100-3331,OF001LA,2004-11-09 00:00:00,,Admin,,10000.0
IN100,Isaiah,Ray,M,2001-08-06 00:00:00,530-805-2253,WH001BJ,2020-10-01 00:00:00,,Intern,SSM100,1500.0
HR500,Isac,Sim,M,1989-05-05 00:00:00,206-442-0320,OF001KB,2013-11-02 00:00:00,16-03-2019,Human Resources,SNM100,3300.0
IN200,Daniella,Harper,F,18-04-1999,309-569-7421,OF002ED,23-12-2020,,Intern,SM200,1500.0
CDO200,Theo,Miles,M,27-04-1998,319-909-7318,OF002TLW,2018-05-09 00:00:00,,Chief Design Officer,SCDO100,9050.0
RE800,Scott,Patterson,M,1995-03-02 00:00:00,906-286-0021,ST002BJ,2016-05-10 00:00:00,2019-10-08 00:00:00,Retail,COO200,2500.0
IN300,Josh,Walker,M,1993-12-07 00:00:00,707-009-9311,OF002TLW,2020-02-12 00:00:00,,Intern,COO200,1500.0
RE900,Paula,Sander,F,1999-11-10 00:00:00,516-778-3253,ST003SH,23-05-2019,,Retail,COO100,2500.0
RE1000,Eden,Carson,M,25-06-1998,505-553-1635,ST001COQ,22-07-2018,,Retail,COO200,2500.0
SM200,Zoe,Lamer,F,1985-02-05 00:00:00,205-643-7733,OF001ED,16-06-2006,2018-11-09 00:00:00,Software Manager,AD100,8300.0
IN400,Bella,Hadid,F,1999-02-01 00:00:00,229-915-6432,ST001BJ,25-12-2020,,Intern,SCDO100,1500.0
MAR200,Harry,Potter,M,23-12-1995,326-877-5321,OF001COQ,22-10-2015,,Marketing,AD100,6000.0
IN500,Connor,Gray,M,1997-03-10 00:00:00,214-826-6202,OF001BJ,28-01-2020,,Intern,COO100,1500.0
IN600,Jodie,Blair,F,16-09-1998,206-743-5194,OF001BB,29-01-2021,,Intern,SCDO100,1500.0
UID400,Henry,Lau,M,22-03-1980,304-458-2005,OF001COQ,2007-07-02 00:00:00,30-01-2019,User Interface Designer,CDO200,4500.0
UID500,Emma,Roberts,F,17-08-1984,610-665-5287,OF001BJ,2004-11-01 00:00:00,2018-04-05 00:00:00,User Interface Designer,CDO100,4500.0
