Mailshot_Customers,Unnamed: 1,Unnamed: 2
mailshot_id,apple_id,outcome
MS01,isabelleolson@gmail.com,No Response
MS01,daphnemorrison@gmail.com,No Response
MS01,raygreen@outlook.com,Order Obtained
MS01,nicsparks@gmail.com,Order Obtained
MS01,joshmck@outlook.com,Order Obtained
MS01,fionabrady@gmail.com,No Response
MS02,bethmanning@outlook.com,Order Obtained
MS02,simonhall@gmail.com,Order Obtained
MS02,desmondkim@outlook.com,Order Obtained
MS02,taylorswift@gmail.com,Order Obtained
MS02,evejanes@outlook.com,No Response
MS03,andrewlee@outlook.com,No Response
MS03,brandonbenn@gmail.com,No Response
MS03,dannparker@outlook.com,No Response
MS03,saraflynn@gmail.com,Order Obtained
MS04,kiras@gmail.com,Order Obtained
MS04,edwinshaw@outlook.com,Order Obtained
MS05,milesellis@gmail.com,Order Obtained
MS05,matthewlee@gmail.com,No Response
MS06,darciemills@outlook.com,Order Obtained
MS06,marklee@outlook.com,No Response
MS07,absawyer2000@yahoo.com,No Response
MS07,ezong1811@gmail.com,Order Obtained
MS08,jnewton@yahoo.com,Order Obtained
MS09,joshuag0604@gmail.com,Order Obtained
MS10,tiawhite7777@outlook.com,No Response
MS10,bbenson1995@gmail.com,No Response
MS10,amber22@yahoo.com,Order Obtained
MS11,cbriggs@hotmail.com,Order Obtained
MS11,jeremiahLuc1112@yahoo.com,Order Obtained
MS11,annastone30@outlook.com,Order Obtained
MS11,liscooper231@gmail.com,No Response
MS11,emnguyen8@yahoo.com,Order Obtained
MS12,johnsee95@outlook.com,No Response
MS12,olivia456@gmail.com,Order Obtained
MS12,justinphillips@yahoo.com,Order Obtained
MS13,sopyoung199@hotmail.com,Order Obtained
MS13,ritakim2000@hotmail.com,Order Obtained
MS14,elonmusk@gmail.com,No Response
MS14,calvinhobbs@outlook.com,Order Obtained
MS15,billjenkins93@yahoo.com,Order Obtained
MS15,jackly31@gmail.com,Order Obtained
MS16,joeaus995@yahoo.com,Order Obtained
MS16,serenawills1@outlook.com,No Response
MS17,yasminc@hotmail.com,No Response
MS18,jasminem03@gmail.com,Order Obtained
MS18,mayaquinn555@gmail.com,Order Obtained
MS19,gcarter18@outlook.com,Order Obtained
MS20,melaniew@yahoo.com,Order Obtained
MS21,maddiesmith2802@gmail.com,No Response
